Date,Price,Open,High,Low,Vol.,Change %
18/02/2020,24.04,23.46,24.50,22.80,5.86,2.51%
17/02/2020,23.45,23.40,23.63,21.57,6.18,0.22%
16/02/2020,23.40,24.28,25.30,21.82,6.98,-3.62%
15/02/2020,24.28,26.32,26.50,23.55,6.71,-7.77%
14/02/2020,26.32,25.48,26.55,25.04,6.46,3.09%
13/02/2020,25.53,26.43,27.20,24.66,6.65,-3.41%
12/02/2020,26.43,25.68,26.95,25.33,7.07,2.92%
11/02/2020,25.68,25.14,25.77,24.15,9.66,2.15%
10/02/2020,25.14,24.27,25.72,23.30,12.23,3.57%
09/02/2020,24.28,21.76,24.34,21.02,9.15,11.57%
08/02/2020,21.76,22.03,22.16,20.91,7.00,-1.21%
07/02/2020,22.03,20.62,22.51,20.47,9.06,6.83%
06/02/2020,20.62,19.25,20.78,19.03,7.50,7.11%
05/02/2020,19.25,18.17,19.44,16.71,6.10,5.94%
04/02/2020,18.17,18.46,18.61,18.17,4.61,-1.57%
03/02/2020,18.46,18.41,18.84,18.19,4.90,0.27%
02/02/2020,18.41,18.24,18.75,17.86,5.58,0.95%
01/02/2020,18.24,18.22,18.58,18.04,5.52,0.20%
31/01/2020,18.20,18.53,18.83,17.82,5.40,-1.79%
30/01/2020,18.53,17.90,18.68,17.70,5.60,3.54%
29/01/2020,17.90,18.03,18.41,17.82,4.77,-0.51%
28/01/2020,17.99,17.64,18.13,17.46,6.03,2.01%
27/01/2020,17.64,17.46,17.86,17.21,5.11,1.05%
26/01/2020,17.46,16.96,17.52,16.82,5.91,2.94%
25/01/2020,16.96,17.07,17.11,16.61,4.87,-0.55%
24/01/2020,17.05,17.03,17.43,16.44,4.71,0.07%
23/01/2020,17.04,17.79,17.83,16.75,5.15,-4.26%
22/01/2020,17.80,18.08,18.71,17.56,5.18,-1.61%
21/01/2020,18.09,17.31,18.19,17.21,6.57,4.50%
20/01/2020,17.31,17.36,17.56,16.81,5.62,-0.32%
19/01/2020,17.36,17.81,18.45,16.73,6.20,-2.50%
18/01/2020,17.81,18.08,18.35,17.45,5.40,-1.46%
17/01/2020,18.07,17.04,18.43,17.03,7.33,6.04%
16/01/2020,17.04,17.62,17.70,16.35,5.68,-3.28%
15/01/2020,17.62,16.65,18.14,16.14,8.41,5.80%
14/01/2020,16.65,15.18,16.89,15.17,7.28,9.77%
13/01/2020,15.17,15.34,15.36,14.93,5.71,-1.05%
12/01/2020,15.33,14.94,15.46,14.82,5.92,2.58%
11/01/2020,14.94,15.06,15.34,14.75,4.80,-0.79%
10/01/2020,15.06,14.40,15.10,13.76,4.96,4.64%
09/01/2020,14.40,14.54,14.62,14.23,3.91,-0.98%
08/01/2020,14.54,15.03,15.32,14.23,4.56,-3.22%
07/01/2020,15.02,14.96,15.17,14.48,4.88,0.44%
06/01/2020,14.96,14.08,15.01,14.04,5.53,6.31%
05/01/2020,14.07,13.85,14.37,13.83,5.18,1.58%
04/01/2020,13.85,13.65,13.89,13.53,4.88,1.49%
03/01/2020,13.65,13.02,13.98,13.01,4.84,4.72%
02/01/2020,13.03,13.70,13.73,12.99,4.49,-4.85%
01/01/2020,13.70,13.73,13.88,13.65,4.61,-0.25%
31/12/2019,13.73,13.88,14.07,13.66,4.23,-1.12%
30/12/2019,13.89,14.12,14.42,13.81,4.79,-1.62%
29/12/2019,14.11,13.71,14.20,13.61,6.46,2.97%
28/12/2019,13.71,13.30,13.78,13.27,5.65,3.04%
27/12/2019,13.30,13.19,13.34,13.00,4.77,0.83%
26/12/2019,13.19,13.04,13.59,13.02,4.59,1.14%
25/12/2019,13.04,13.37,13.43,12.95,4.29,-2.43%
24/12/2019,13.37,13.35,13.65,13.28,4.90,0.16%
23/12/2019,13.35,13.81,14.00,13.25,4.51,-3.36%
22/12/2019,13.81,13.34,13.84,13.30,5.81,3.55%
21/12/2019,13.34,13.53,13.57,13.30,5.86,-1.62%
20/12/2019,13.56,13.36,13.57,13.12,5.73,1.56%
19/12/2019,13.35,13.59,13.76,12.95,4.79,-1.74%
18/12/2019,13.59,12.37,13.68,12.23,6.65,9.79%
17/12/2019,12.37,13.61,13.65,12.15,5.68,-9.05%
16/12/2019,13.61,14.55,14.58,13.47,4.79,-6.47%
15/12/2019,14.55,14.53,14.65,14.33,3.90,0.09%
14/12/2019,14.53,14.91,15.04,14.35,4.20,-2.50%
13/12/2019,14.91,14.83,15.04,14.77,4.28,0.54%
12/12/2019,14.83,14.86,14.94,14.57,3.71,-0.20%
11/12/2019,14.86,15.01,15.12,14.68,3.93,-1.07%
10/12/2019,15.02,15.48,15.49,14.74,4.43,-2.75%
09/12/2019,15.44,15.64,15.91,15.29,4.78,-1.26%
08/12/2019,15.64,15.63,15.86,15.43,5.35,0.08%
07/12/2019,15.63,15.69,15.84,15.56,5.69,-0.45%
06/12/2019,15.70,15.67,15.79,15.35,5.47,0.17%
05/12/2019,15.67,15.16,15.74,14.93,5.72,3.35%
04/12/2019,15.16,15.32,15.71,14.97,5.44,-1.03%
03/12/2019,15.32,15.21,15.53,15.13,4.82,0.72%
02/12/2019,15.21,15.53,15.70,15.14,3.98,-2.06%
01/12/2019,15.53,15.67,15.69,15.01,4.12,-0.93%
30/11/2019,15.68,16.14,16.19,15.42,4.95,-2.89%
29/11/2019,16.14,15.52,16.26,15.46,5.54,4.02%
28/11/2019,15.52,16.03,16.12,15.45,4.28,-3.17%
27/11/2019,16.03,15.48,16.16,14.89,5.80,3.58%
26/11/2019,15.47,15.28,15.98,15.16,4.69,1.16%
25/11/2019,15.30,15.20,15.87,14.15,7.03,0.60%
24/11/2019,15.21,16.29,16.52,15.12,5.43,-6.65%
23/11/2019,16.29,15.58,16.39,15.13,5.60,4.54%
22/11/2019,15.58,16.81,16.81,14.56,8.33,-7.31%
21/11/2019,16.81,18.02,21.68,16.64,4.52,-6.71%
20/11/2019,18.02,18.49,18.70,17.39,3.81,-2.46%
19/11/2019,18.48,19.10,19.39,18.25,3.63,-3.25%
